"","cotm_month","winner","carousel_include","vis_url_short","img_id","img_url","release_date","title","doc_uri","caption"
"1","December 2025",0,1,"/visualisations/dvc3391/fig04/index.html",1933,"https://raw.githubusercontent.com/ONSdigital/get-ons-vis-screenshots/main/screenshots/1933.png",2025-10-15,"UK trade","https://www.ons.gov.uk/economy/nationalaccounts/balanceofpayments/bulletins/uktrade/august2025","December 2025 - UK trade - 2025-10-15"
"2","December 2025",0,1,"/visualisations/dvc2811/fig4wrapper/index.html",266,"https://raw.githubusercontent.com/ONSdigital/get-ons-vis-screenshots/main/screenshots/266.png",2023-12-04,"Ownership of UK quoted shares","https://www.ons.gov.uk/economy/investmentspensionsandtrusts/bulletins/ownershipofukquotedshares/2022","December 2025 - Ownership of UK quoted shares - 2023-12-04"
"3","December 2025",0,1,"/visualisations/dvc3443/fig08/index.html",2091,"https://raw.githubusercontent.com/ONSdigital/get-ons-vis-screenshots/main/screenshots/2091.png",2025-12-12,"GDP monthly estimate, UK","https://www.ons.gov.uk/economy/grossdomesticproductgdp/bulletins/gdpmonthlyestimateuk/october2025","December 2025 - GDP monthly estimate, UK - 2025-12-12"
"4","January 2026",0,1,"/visualisations/dvc3394/fig07/index.html",1953,"https://raw.githubusercontent.com/ONSdigital/get-ons-vis-screenshots/main/screenshots/1953.png",2025-10-22,"Gender pay gap in the UK","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/bulletins/genderpaygapintheuk/2025","January 2026 - Gender pay gap in the UK - 2025-10-22"
"5","January 2026",0,1,"/visualisations/dvc3352/fig05/index.html",2154,"https://raw.githubusercontent.com/ONSdigital/get-ons-vis-screenshots/main/screenshots/2154.png",2026-01-30,"Industry-to-industry payment flows, UK: 2019 to 2025","https://www.ons.gov.uk/economy/economicoutputandproductivity/output/articles/industrytoindustrypaymentflowsuk/2019to2025","January 2026 - Industry-to-industry payment flows, UK: 2019 to 2025 - 2026-01-30"
"6","January 2026",0,1,"/visualisations/dvc3428/fig02/index.html",2082,"https://raw.githubusercontent.com/ONSdigital/get-ons-vis-screenshots/main/screenshots/2082.png",2025-12-09,"Sexual orientation, UK","https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/sexuality/bulletins/sexualidentityuk/2024","January 2026 - Sexual orientation, UK - 2025-12-09"
"7","January 2026",1,1,"/visualisations/dvc3441/shipping-straits-map/index.html",2066,"https://raw.githubusercontent.com/ONSdigital/get-ons-vis-screenshots/main/screenshots/2066.png",2025-12-08,"UK trade flows of containerised products through global maritime passages","https://www.ons.gov.uk/businessindustryandtrade/internationaltrade/bulletins/uktradeflowsofcontainerisedproductsthroughglobalmaritimepassages/2020to2024","January 2026 - UK trade flows of containerised products through global maritime passages - 2025-12-08"
"8","February 2026",0,1,"/visualisations/dvc3488/fig6/index.html",2176,"https://raw.githubusercontent.com/ONSdigital/get-ons-vis-screenshots/main/screenshots/2176.png",2026-02-17,"Productivity flash estimate and overview, UK: October to December 2025 and July to September 2025","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/labourproductivity/articles/ukproductivityintroduction/octobertodecember2025andjulytoseptember2025","February 2026 - Productivity flash estimate and overview, UK: October to December 2025 and July to September 2025 - 2026-02-17"
"9","March 2026",0,1,"/visualisations/dvc3498/fig07/index.html",2216,"https://raw.githubusercontent.com/ONSdigital/get-ons-vis-screenshots/main/screenshots/2216.png",2026-03-10,"High streets and retail areas in Great Britain: March 2026","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/articles/highstreetsandretailareasingreatbritain/march2026","March 2026 - High streets and retail areas in Great Britain: March 2026 - 2026-03-10"
"10","March 2026",0,1,"/visualisations/dvc3498/fig04/index.html",2213,"https://raw.githubusercontent.com/ONSdigital/get-ons-vis-screenshots/main/screenshots/2213.png",2026-03-10,"High streets and retail areas in Great Britain: March 2026","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/articles/highstreetsandretailareasingreatbritain/march2026","March 2026 - High streets and retail areas in Great Britain: March 2026 - 2026-03-10"
"11","March 2026",0,1,"/visualisations/dvc3507/fig1wrapper/index.html",2251,"https://raw.githubusercontent.com/ONSdigital/get-ons-vis-screenshots/main/screenshots/2251.png",2026-03-26,"Housing affordability in England and Wales: 2025","https://www.ons.gov.uk/peoplepopulationandcommunity/housing/bulletins/housingaffordabilityinenglandandwales/2025","March 2026 - Housing affordability in England and Wales: 2025 - 2026-03-26"
